Publishing_Year,Book_Name,Author,Language_Code,Author_Rating,Average_Rating,Rating_Count,Gross_Sales_EUR,Publisher_Revenue_EUR,Publisher,Genre
1985,Lonesome Dove,Larry McMurtry,en,Famous,4.47,111498,1687.77,0.0,"Amazon Digital Services,  Inc,",Mystery
2003,Stiff: The Curious Lives of Human Cadavers,Mary Roach,en,Intermediate,4.05,122502,4473.0,2683.8,Random,Nonfiction
2011,Bloodlines,Richelle Mead,en,Excellent,4.22,140599,413820.0,248292.0,Macmillan,Young Adult
1998,Ender's Shadow,Orson Scott Card,en,Intermediate,4.3,115521,411.84,0.0,"Amazon Digital Services,  Inc,",Science Fiction
2009,Twenties Girl,Sophie Kinsella,en,Intermediate,3.82,119105,2070.85,1242.51,Random,Romance
1982,Schindler's Ark,Thomas Keneally,en,Intermediate,4.34,108338,2537.9,1522.74,"Amazon Digital Services,  Inc,",Historical Fiction
1970,The Bluest Eye,Toni Morrison,en,Intermediate,3.99,109944,1219.92,0.0,"Amazon Digital Services,  Inc,",Historical Fiction
2009,The White Queen,Philippa Gregory,en,Intermediate,3.9,119739,1685040.0,1011024.0,"Amazon Digital Services,  Inc,",Historical Fiction
1965,The Autobiography of Malcolm X,"Malcolm X, Alex Haley",en,Intermediate,4.29,124805,2025940.0,1215564.0,Random,Biography
1989,Preludes & Nocturnes,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",en,Intermediate,4.3,122540,2251.8,1351.08,"Amazon Digital Services,  Inc,",Graphic Novel
1999,Seabiscuit,Laura Hillenbrand,en,Intermediate,4.2,111497,1007.5,604.5,Harper,Biography
2003,Shutter Island,Dennis Lehane,en,Excellent,4.07,113718,4270.65,2562.39,Penguin,Thriller
2011,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,en,Excellent,3.81,110481,392040.0,235224.0,"Amazon Digital Services,  Inc,",Nonfiction
2014,Cress,Marissa Meyer,en,Famous,4.46,162069,1154140.0,692484.0,Macmillan,Young Adult
2010,Just Kids,Patti Smith,en,Intermediate,4.14,106542,766.15,459.69,Random,Biography
1997,The art Book,Phaidon Press,en,Intermediate,3.79,102746,3060170.0,1836102.0,Penguin,Adventure
2001,Jemima J,Jane Green,en,Intermediate,3.62,101436,758.19,0.0,"Amazon Digital Services,  Inc,",Nonfiction
1996,A Fine Balance,Rohinton Mistry,en,Intermediate,4.34,99252,1136.2,681.72,Simon and Schuster Digital Sales Inc,Historical Fiction
1987,Calvin and Hobbes,"Bill Watterson, G,B, Trudeau",en,Famous,4.61,117788,1886220.0,1131732.0,Penguin,Graphic Novel
2006,Specials,Scott Westerfeld,en,Intermediate,3.77,139168,1124240.0,674544.0,"Amazon Digital Services,  Inc,",Young Adult
2009,Hunted,"P,C, Cast, Kristin Cast",en,Excellent,3.93,138103,1871.25,1122.75,Random,Young Adult
2006,For One More Day,Mitch Albom,en,Excellent,4.09,102193,1488.27,0.0,"Amazon Digital Services,  Inc,",Nonfiction
1989,Clear and Present Danger,Tom Clancy,en,Intermediate,4.08,105317,1115270.0,669162.0,Hachette,Thriller
1996,Falling Up,Shel Silverstein,en,Intermediate,4.33,111779,366.3,0.0,"Amazon Digital Services,  Inc,",Children’s
2010,Sh*t My Dad Says,Justin Halpern,en,Intermediate,3.98,102560,2775.0,1665.0,Hachette,Memoir
1993,Trainspotting,"Irvine Welsh, Eric Lindor Fall",fr,Intermediate,4.07,59453,1100320.0,660192.0,Random,Nonfiction
1952,Foundation and Empire,Isaac Asimov,en,Excellent,4.2,105595,1094.34,0.0,"Amazon Digital Services,  Inc,",Science Fiction
1997,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",Miguel Ruiz,en,Intermediate,4.12,97016,4388340.0,2633004.0,Penguin,Biography
2010,House Rules,Jodi Picoult,en,Intermediate,4.01,111239,4084.35,2450.61,Harper,Nonfiction
1967,"From the Mixed-Up Files of Mrs, Basil E, Frankweiler","E,L, Konigsburg",en,Intermediate,4.15,134537,1085370.0,651222.0,"Amazon Digital Services,  Inc,",Children’s
2013,Doctor Sleep,Stephen King,en,Excellent,4.1,95276,357390.0,214434.0,"Amazon Digital Services,  Inc,",Thriller
1998,About a Boy,Nick Hornby,en,Intermediate,3.79,101999,1079390.0,647634.0,Penguin,Nonfiction
2012,On Dublin Street,Samantha Young,en,Intermediate,4.24,136761,3905780.0,2343468.0,Random,Romance
2008,Crazy Love: Overwhelmed by a Relentless God,"Francis Chan, Danae Yankoski, Chris Tomlin",en,Intermediate,4.15,106351,1064440.0,638664.0,Macmillan,Historical Fiction
1960,"One Fish, Two Fish, Red Fish, Blue Fish","Dr, Seuss",en,Excellent,4.12,117582,706.45,423.87,Simon and Schuster Digital Sales Inc,Children’s
1987,Watchers,Dean Koontz,en,Excellent,4.16,109595,1049.49,0.0,"Amazon Digital Services,  Inc,",Thriller
2009,This Is Where I Leave You,Jonathan Tropper,en,Intermediate,3.88,98645,346.5,0.0,"Amazon Digital Services,  Inc,",Nonfiction
2010,Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,en,Intermediate,3.7,106336,344.52,0.0,"Amazon Digital Services,  Inc,",Historical Fiction
1999,Fruits Basket,"Natsuki Takaya, Alethea Nibley, Athena Nibley",en,Intermediate,4.23,118467,1031.55,618.93,Simon and Schuster Digital Sales Inc,Fantasy
2010,Burned: A House of Night Novel,"P,C, Cast, Kristin Cast",en,Excellent,3.98,120763,1019.59,0.0,"Amazon Digital Services,  Inc,",Young Adult
1997,Wizard and Glass,"Stephen King, Dave McKean",en,Intermediate,4.24,105026,1019590.0,611754.0,Simon and Schuster Digital Sales Inc,Fantasy
2013,The Circle,Dave Eggers,en,Excellent,3.46,109412,3872.6,2323.56,Penguin,Dystopian
2007,The Invention of Hugo Cabret,Brian Selznick,en,Intermediate,4.23,132159,1686.62,0.0,"Amazon Digital Services,  Inc,",Children’s
1932,Brave New World/Brave New World Revisited,"Aldous Huxley, Christopher Hitchens",en,Intermediate,4.16,108124,1676.64,0.0,"Amazon Digital Services,  Inc,",Science Fiction
2003,Ouran High School,Bisco Hatori,en,Excellent,4.36,190300,666.65,399.99,Harper,Fantasy
2014,The Good Girl,Mary Kubica,en,Intermediate,3.81,100936,2620720.0,1572432.0,Random,Thriller
2012,"Fallen Too Far (Too Far, #1)",Abbi Glines,en,Excellent,4.21,138871,2875320.0,1725192.0,Penguin,Romance
2014,Landline,Rainbow Rowell,en,Intermediate,3.55,113805,1300.74,0.0,"Amazon Digital Services,  Inc,",Romance
2008,Tempted,"P,C, Cast, Kristin Cast",en,Excellent,3.96,127387,2759.25,1655.55,Harper,Young Adult
2005,No Country for Old Men,Cormac McCarthy,en,Excellent,4.12,100513,1611770.0,967062.0,Simon and Schuster Digital Sales Inc,Historical Fiction
2009,Wolf Hall,Hilary Mantel,en,Intermediate,3.85,102936,2468490.0,1481094.0,Penguin,Historical Fiction
1986,Howl's Moving Castle,Diana Wynne Jones,en,Excellent,4.3,123945,950.82,0.0,"Amazon Digital Services,  Inc,",Fantasy
2001,Dreamcatcher,"Stephen King, William Olivier Desmond",fr,Intermediate,3.59,115855,1576.84,0.0,"Amazon Digital Services,  Inc,",Thriller
1989,The Remains of the Day,Kazuo Ishiguro,en,Excellent,4.1,105892,1874870.0,1124922.0,Random,Historical Fiction
2010,The Best of Me,Nicholas Sparks,en,Excellent,3.91,103915,307890.0,184734.0,"Amazon Digital Services,  Inc,",Romance
2011,The Sense of an Ending,Julian Barnes,en,Intermediate,3.7,94968,306.9,0.0,"Amazon Digital Services,  Inc,",Historical Fiction
1982,A is for Alibi,Sue Grafton,en,Intermediate,3.82,116026,616.9,370.14,"Amazon Digital Services,  Inc,",Mystery
2009,Shanghai Girls,Lisa See,en,Intermediate,3.87,106729,2152920.0,1291752.0,Penguin,Historical Fiction
2014,To All the Boys I've Loved Before,Jenny Han,en,Excellent,4.11,136938,598.99,0.0,"Amazon Digital Services,  Inc,",Young Adult
2000,Persepolis,"Marjane Satrapi, Mattias Ripa",en,Excellent,4.23,117103,1487020.0,892212.0,Random,Graphic Novel
2010,The DUFF: Designated Ugly Fat Friend,Kody Keplinger,en,Intermediate,3.86,136736,1181.04,0.0,"Amazon Digital Services,  Inc,",Young Adult
2008,Lock and Key,Sarah Dessen,en,Excellent,4.01,120475,885040.0,531024.0,"Amazon Digital Services,  Inc,",Young Adult
1995,Naked in Death,"J,D, Robb",en,Excellent,4.13,78028,1772.95,1063.77,Harper,Thriller
1994,The Chamber,John Grisham,en,Intermediate,3.76,102715,292.05,0.0,"Amazon Digital Services,  Inc,",Thriller
2008,Midnight Sun (Partial Draft),Stephenie Meyer,en,Excellent,4.03,138118,290.07,0.0,"Amazon Digital Services,  Inc,",Young Adult
1999,NARUTO ,"Masashi Kishimoto, Katy Bridges",en,Excellent,4.35,104633,288090.0,172854.0,Harper,Fantasy
2012,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,en,Intermediate,3.89,94012,3694.6,2216.76,Hachette,Nonfiction
2012,Every Day,David Levithan,en,Intermediate,3.99,121863,1149120.0,689472.0,"Amazon Digital Services,  Inc,",Young Adult
1991,Xenocide,Orson Scott Card,en,Intermediate,3.77,104467,1707.15,1024.29,Simon and Schuster Digital Sales Inc,Science Fiction
1975,Shogun,James Clavell,en,Excellent,4.4,205654,2071560.0,1242936.0,Hachette,Historical Fiction
2006,"Lover Awakened (Black Dagger Brotherhood, #3)","J,R, Ward",en,Excellent,4.45,134249,1412170.0,847302.0,Simon and Schuster Digital Sales Inc,Romance
2015,A Court of Thorns and Roses,"Sarah J, Maas",en,Excellent,4.29,167848,3650190.0,2190114.0,"Amazon Digital Services,  Inc,",Young Adult
1989,Chicka Chicka Boom Boom,"Bill Martin Jr,, John Archambault, Lois Ehlert",en,Excellent,4.21,105192,1097.25,658.35,Simon and Schuster Digital Sales Inc,Children’s
2009,Smile,Raina Telgemeier,en,Excellent,4.19,98628,2618070.0,1570842.0,Harper,Graphic Novel
1950, Animal Farm & 1984,"George Orwell, Christopher Hitchens",en,Excellent,4.26,116197,267.3,0.0,"Amazon Digital Services,  Inc,",Historical Fiction
1996,The Deep End of the Ocean,Jacquelyn Mitchard,en,Intermediate,3.84,102733,267.3,0.0,"Amazon Digital Services,  Inc,",Nonfiction
2001,The Bonesetter's Daughter,Amy Tan,en,Intermediate,3.98,99926,263.34,0.0,"Amazon Digital Services,  Inc,",Historical Fiction
1999,"Angus, Thongs and Full-Frontal Snogging",Louise Rennison,en,Intermediate,3.74,112733,997.5,0.0,"Amazon Digital Services,  Inc,",Young Adult
2012,"Mr, Penumbra's 24-Hour Bookstore",Robin Sloan,en,Intermediate,3.75,110552,1719.85,1031.91,Hachette,Historical Fiction
1979,Flowers in the Attic,"V,C, Andrews",en,Intermediate,3.79,109063,1877820.0,1126692.0,"Amazon Digital Services,  Inc,",Historical Fiction
2016,When Breath Becomes Air,"Paul Kalanithi, Abraham Verghese",en,Excellent,4.32,116771,1041.39,0.0,"Amazon Digital Services,  Inc,",Biography
1990,Maniac Magee,Jerry Spinelli,en,Intermediate,3.86,99831,777.4,0.0,"Amazon Digital Services,  Inc,",Children’s
1999,Invisible Monsters,Chuck Palahniuk,en,Intermediate,4.0,54937,771420.0,462852.0,Simon and Schuster Digital Sales Inc,Science Fiction
2000,Gathering Blue,Lois Lowry,en,Intermediate,3.8,114917,997.5,0.0,"Amazon Digital Services,  Inc,",Children’s
1978,The Westing Game,Ellen Raskin,en,Excellent,4.03,117108,997.5,598.5,"Amazon Digital Services,  Inc,",Young Adult
2014,Red Rising,Pierce Brown,en,Excellent,4.26,104939,246510.0,147906.0,"Amazon Digital Services,  Inc,",Science Fiction
2008,The Way of Shadows,Brent Weeks,en,Excellent,4.15,109236,744510.0,446706.0,Random,Fantasy
1988,The Bean Trees,Barbara Kingsolver,en,Intermediate,3.94,105032,1635930.0,981558.0,"Amazon Digital Services,  Inc,",Historical Fiction
2013,Walking Disaster,Jamie McGuire,en,Excellent,4.23,134022,3221.52,0.0,"Amazon Digital Services,  Inc,",Romance
2014,Words of Radiance,Brandon Sanderson,en,Excellent,4.77,73572,741520.0,444912.0,Harper,Fantasy
1988,Guess How Much I Love You,"Sam McBratney, Anita Jeram",en,Excellent,4.36,104690,738.53,0.0,"Amazon Digital Services,  Inc,",Children’s
2001,The Fiery Cross,Diana Gabaldon,en,Excellent,4.26,103552,1141140.0,684684.0,Penguin,Historical Fiction
1978,Night Shift,"Stephen King, John D, MacDonald",en,Intermediate,3.96,104248,244530.0,146718.0,"Amazon Digital Services,  Inc,",Horror
1974,Jaws,Peter Benchley,en,Intermediate,3.96,102574,1227540.0,736524.0,Simon and Schuster Digital Sales Inc,Adventure
2005,The History of Love,Nicole Krauss,en,Intermediate,3.91,98379,977.55,0.0,"Amazon Digital Services,  Inc,",Historical Fiction
1945,Pippi LÃÂ¥ngstrump,"Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn",en,Excellent,4.11,123065,977.55,586.53,"Amazon Digital Services,  Inc,",Children’s
2006,The Elegance of the Hedgehog,"Muriel Barbery, Alison Anderson",en,Intermediate,3.73,195000,1698570.0,1019142.0,Hachette,Historical Fiction
2005,Team of Rivals: The Political Genius of Abraham Lincoln,"Doris Kearns Goodwin, Suzanne Toren",en,Excellent,4.3,102923,726570.0,435942.0,"Amazon Digital Services,  Inc,",Biography
2010,Dead in the Family,Charlaine Harris,en,Intermediate,3.88,127379,1494.45,896.67,"Amazon Digital Services,  Inc,",Fantasy
1947,La peste,"Albert Camus, Stuart Gilbert",en,Intermediate,3.97,95803,965.58,0.0,"Amazon Digital Services,  Inc,",Historical Fiction
1999,The Reptile Room,"Lemony Snicket, Brett Helquist",en,Excellent,3.95,130213,1202590.0,721554.0,Simon and Schuster Digital Sales Inc,Young Adult
2012,Brain on Fire,Susannah Cahalan,en,Intermediate,4.0,92849,2566.65,1539.99,Hachette,Biography
2007,Wicked Lovely ,Melissa Marr,en,Intermediate,3.69,131034,1197.6,718.56,Simon and Schuster Digital Sales Inc,Young Adult
1941,Curious George,"H,A, Rey",en,Excellent,4.13,105473,236610.0,141966.0,"Amazon Digital Services,  Inc,",Children’s
1979,Die unendliche Geschichte,"Michael Ende, Ralph Manheim, Roswitha Quadflieg",en,Excellent,4.17,109110,953.61,0.0,"Amazon Digital Services,  Inc,",Fantasy
1998,A Beautiful Mind,Sylvia Nasar,en,Excellent,4.12,98276,1544620.0,926772.0,Random,Biography
2008,The Summoning,Kelley Armstrong,en,Excellent,4.03,132285,471.63,0.0,"Amazon Digital Services,  Inc,",Fantasy
1985,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,en,Excellent,4.04,102419,1182630.0,709578.0,Random,Nonfiction
1978,Storm Island,Ken Follett,en,Excellent,4.16,93475,708.63,0.0,"Amazon Digital Services,  Inc,",Historical Fiction
2000,The Blind Assassin,Margaret Atwood,en,Excellent,3.95,98464,1885640.0,1131384.0,Harper,Historical Fiction
2014,Hollow City,Ransom Riggs,en,Excellent,4.07,73149,1642.65,985.59,Penguin,Young Adult
1999,House of Sand and Fog,Andre Dubus III,en,Intermediate,3.83,55381,933660.0,560196.0,"Amazon Digital Services,  Inc,",Historical Fiction
2014,The Girl with All the Gifts,"M,R, Carey",en,Intermediate,3.93,99729,463670.0,278202.0,Simon and Schuster Digital Sales Inc,Horror
1930,As I Lay Dying,William Faulkner,en,Intermediate,3.72,103547,461680.0,277008.0,Harper,Science Fiction
1955,Harold and the Purple Crayon,Crockett Johnson,en,Excellent,4.24,107221,925.68,0.0,"Amazon Digital Services,  Inc,",Children’s
2006,"Lover Eternal (Black Dagger Brotherhood, #2)","J,R, Ward",en,Excellent,4.35,137558,2460.15,1476.09,Random,Romance
1953,Foundation,Isaac Asimov,en,Excellent,4.23,579000,690690.0,414414.0,Harper,Science Fiction
2001,Fool Moon ,Jim Butcher,en,Excellent,4.04,111371,687.7,412.62,Macmillan,Historical Fiction
2011,David and Goliath,Malcolm Gladwell,en,Intermediate,3.9,90083,2509.3,1505.58,Random,Historical Fiction
1989,Guards! Guards!,Terry Pratchett,en,Excellent,4.32,108652,1142.71,0.0,"Amazon Digital Services,  Inc,",Fantasy
2005,The Year of Magical Thinking,Joan Didion,en,Intermediate,3.86,94590,909.72,0.0,"Amazon Digital Services,  Inc,",Biography
2003,We Need to Talk About Kevin,Lionel Shriver,en,Excellent,4.07,101343,5902920.0,3541752.0,Harper,Thriller
1973,Rendezvous with Rama,"Arthur C, Clarke",en,Excellent,4.06,93151,1468690.0,881214.0,"Amazon Digital Services,  Inc,",Science Fiction
1988,The Queen of the Damned,Anne Rice,en,Excellent,3.86,110693,223740.0,134244.0,"Amazon Digital Services,  Inc,",Horror
1976,The Selfish Gene,Richard Dawkins,en,Excellent,4.11,96564,897.75,538.65,"Amazon Digital Services,  Inc,",Science Fiction
2001,Year of Wonders: A Novel of the Plague,Geraldine Brooks,en,Intermediate,4.0,104283,221.76,0.0,"Amazon Digital Services,  Inc,",Historical Fiction
1992,The Black Echo,Michael Connelly,en,Excellent,4.08,98591,1274560.0,764736.0,"Amazon Digital Services,  Inc,",Thriller
1938,Anthem,Ayn Rand,en,Intermediate,3.62,95620,1112.77,0.0,"Amazon Digital Services,  Inc,",Science Fiction
2011,Gabriel's Inferno,Sylvain Reynard,en,Excellent,4.02,119633,1781770.0,1069062.0,Penguin,Romance
1978,Cloudy with a Chance of Meatballs,"Judi Barrett, Ron Barrett",en,Excellent,4.15,104677,1662780.0,997668.0,Penguin,Children’s
2010,Major Pettigrew's Last Stand,Helen Simonson,en,Intermediate,3.87,97745,660790.0,396474.0,Simon and Schuster Digital Sales Inc,Science Fiction
2009,Vision in White,Nora Roberts,en,Excellent,4.1,103933,437.8,262.68,Random,Romance
2006,The Tenth Circle,Jodi Picoult,en,Intermediate,3.48,99170,3955.6,2373.36,"Amazon Digital Services,  Inc,",Thriller
2011,The Throne of Fire,Rick Riordan,en,Excellent,4.2,116360,2067360.0,1240416.0,"Amazon Digital Services,  Inc,",Young Adult
2005,Old Man's War,John Scalzi,en,Excellent,4.23,97653,1311810.0,787086.0,Macmillan,Science Fiction
1992,Gerald's Game,Stephen King,en,Excellent,3.47,100158,433820.0,260292.0,"Amazon Digital Services,  Inc,",Thriller
1996,Two for the Dough,Janet Evanovich,en,Excellent,4.11,116171,2177820.0,1306692.0,"Amazon Digital Services,  Inc,",Thriller
1931,The Joy of Cooking,"Irma S, Rombauer, Marion Rombauer Becker, Ethan Becker",en,Excellent,4.14,102348,1864030.0,1118418.0,Hachette,Nonfiction
1974,The Forever War,Joe Haldeman,en,Excellent,4.15,87636,214830.0,128898.0,"Amazon Digital Services,  Inc,",Science Fiction
1994,Insomnia,"Stephen King, Bettina Blanch Tyroller",es,Intermediate,3.79,100972,2311.05,1386.63,Random,Mystery
2003,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,en,Intermediate,3.57,94696,1072.85,0.0,"Amazon Digital Services,  Inc,",Memoir
2006,The Blade Itself,Joe Abercrombie,en,Excellent,4.14,97501,1717.85,1030.71,Random,Fantasy
2002,The Arctic Incident,Eoin Colfer,en,Excellent,3.94,108031,642.85,385.71,"Amazon Digital Services,  Inc,",Young Adult
1993,The Shipping News,Annie Proulx,en,Intermediate,3.83,103151,1281.86,0.0,"Amazon Digital Services,  Inc,",Nonfiction
2015,All the Bright Places,"Jennifer Niven,",en,Excellent,4.19,613419,423870.0,254322.0,Harper,Young Adult
1997,Dear  Dead,Kathy Reichs,en,Intermediate,3.86,154100,1062870.0,637722.0,Hachette,Mystery
2007,The Alchemyst: The Secrets of The Immortal Nicholas Flamel,Michael Scott,en,Intermediate,3.84,58396,1693880.0,1016328.0,Penguin,Young Adult
2011,The Marriage Plot,Jeffrey Eugenides,en,Intermediate,3.42,90551,1080320.0,648192.0,Random,Historical Fiction
1998,Hija de la fortuna,"Isabel Allende, Margaret Sayers Peden",en,Intermediate,3.89,89770,630.89,0.0,"Amazon Digital Services,  Inc,",Historical Fiction
2015,Luckiest Girl Alive,Jessica Knoll,en,Novice,3.48,82504,2007.6,1204.56,Simon and Schuster Digital Sales Inc,Historical Fiction
2004,"Crank (Crank, #1)",Ellen Hopkins,en,Excellent,4.16,104168,833.91,0.0,"Amazon Digital Services,  Inc,",Young Adult
2012,The Raven Boys,Maggie Stiefvater,en,Excellent,4.05,121727,206910.0,124146.0,"Amazon Digital Services,  Inc,",Young Adult
1954,I Am Legend and Other Stories,Richard Matheson,en,Intermediate,3.99,98795,621.92,0.0,"Amazon Digital Services,  Inc,",Science Fiction
2008,Olive Kitteridge,Elizabeth Strout,en,Intermediate,3.78,85019,205.92,0.0,"Amazon Digital Services,  Inc,",Historical Fiction
2014,Not that Kind of Girl,"Lena Dunham, Joana Avillez",en,Novice,3.33,88251,1245920.0,747552.0,Random,Nonfiction
2001,"Good to Great: Why Some Companies Make the Leap,,, and Others Don't","James C, Collins",en,Excellent,4.04,85277,1032.93,0.0,"Amazon Digital Services,  Inc,",Nonfiction
2009,Fire,Kristin Cashore,en,Excellent,4.12,98180,2457.95,1474.77,Penguin,Young Adult
1952,En attendant Godot,Samuel Beckett,en,Intermediate,3.81,98950,1621970.0,973182.0,Penguin,Fantasy
2003,Wolves of the Calla,"Stephen King, Bernie Wrightson",en,Excellent,4.17,98182,603.98,0.0,"Amazon Digital Services,  Inc,",Adventure
2000,His Dark Materials,Philip Pullman,en,Excellent,4.25,88227,603.98,0.0,"Amazon Digital Services,  Inc,",Young Adult
2012,The Edge of Never,"J,A, Redmerski",en,Excellent,4.26,117508,600990.0,360594.0,Simon and Schuster Digital Sales Inc,Young Adult
2013,Reconstructing Amelia,Kimberly McCreight,en,Intermediate,3.82,86965,198990.0,119394.0,"Amazon Digital Services,  Inc,",Thriller
2014,The One Plus One,Jojo Moyes,en,Intermediate,3.94,87412,399990.0,239994.0,Hachette,Science Fiction
1998,The Hours,Michael Cunningham,en,Intermediate,3.91,97462,500.0,300.0,Harper,Historical Fiction
2012,Wallbanger,Alice Clayton,en,Excellent,4.1,134805,1898.0,0.0,"Amazon Digital Services,  Inc,",Romance
1997,Holidays on Ice,David Sedaris,en,Intermediate,3.95,82591,595.01,0.0,"Amazon Digital Services,  Inc,",Satire
1996,Desperation,Stephen King,en,Excellent,3.8,94821,196020.0,117612.0,"Amazon Digital Services,  Inc,",Horror
2011,Passion,Lauren Kate,en,Excellent,3.89,119735,790.02,0.0,"Amazon Digital Services,  Inc,",Young Adult
2012,The Kill Order,James Dashner,en,Intermediate,3.69,96568,1059860.0,635916.0,Random,Science Fiction
2011,Angelfall,Susan Ee,en,Excellent,4.19,73886,194.04,0.0,"Amazon Digital Services,  Inc,",Young Adult
2001,Empire Falls,Richard Russo,en,Intermediate,3.91,90811,586.04,0.0,"Amazon Digital Services,  Inc,",Historical Fiction
1993,The Fires of Heaven,Robert Jordan,en,Excellent,4.13,93227,1480.05,888.03,Random,Fantasy
2014,I'll Give You the Sun,Jandy Nelson,en,Excellent,4.14,140937,583.05,349.83,Simon and Schuster Digital Sales Inc,Young Adult
1999,Survivor,Chuck Palahniuk,en,Intermediate,3.93,49551,192060.0,115236.0,Harper,Historical Fiction
2007,Shopaholic and Baby,Sophie Kinsella,en,Intermediate,3.77,98130,191.07,0.0,"Amazon Digital Services,  Inc,",Romance
2004,The Dark Tower,Stephen King,en,Excellent,4.27,93296,770.07,0.0,"Amazon Digital Services,  Inc,",Fantasy
2009,Twilight Director's Notebook,Catherine Hardwicke,en,Excellent,4.2,88847,1726080.0,1035648.0,Harper,Nonfiction
2001,Shopaholic Abroad,Sophie Kinsella,en,Intermediate,3.75,93498,1468790.0,881274.0,Penguin,Romance
1984,"Surely You're Joking, Mr, Feynman! Adventures of a Curious Character",Richard Feynman,en,Excellent,4.29,91625,948.1,0.0,"Amazon Digital Services,  Inc,",Science Fiction
2010,Linger,Maggie Stiefvater,en,Excellent,3.91,125363,376.11,0.0,"Amazon Digital Services,  Inc,",Young Adult
2009,The Gathering Storm,"Robert Jordan, Brandon Sanderson",en,Excellent,4.34,94095,750.12,0.0,"Amazon Digital Services,  Inc,",Fantasy
2012,Point of Retreat,Colleen Hoover,en,Excellent,4.3,109344,185.13,0.0,"Amazon Digital Services,  Inc,",Young Adult
1997,The Partner,John Grisham,en,Intermediate,3.89,86870,746.13,0.0,"Amazon Digital Services,  Inc,",Historical Fiction
1973,The Hobbit and The Lord of the Rings,"J,R,R, Tolkien",en,Famous,4.59,90907,184140.0,110484.0,"Amazon Digital Services,  Inc,",Adventure
2009,Thoughtless,"S,C, Stephens",en,Excellent,4.12,90483,1114140.0,668484.0,Penguin,Young Adult
1986,Presumed Innocent,Scott Turow,en,Excellent,4.1,91774,553.15,331.89,"Amazon Digital Services,  Inc,",Historical Fiction
1989,The Dark Half,Stephen King,en,Excellent,3.74,94624,550160.0,330096.0,Macmillan,Thriller
2006,Cleopatra: A Life,Stacy Schiff,en,Intermediate,3.62,73994,181.17,0.0,"Amazon Digital Services,  Inc,",Biography
2005,The World Is Flat: A Brief History of the Twenty-first Century,"Thomas L, Friedman",en,Intermediate,3.66,78271,544180.0,326508.0,Hachette,Nonfiction
2013,Steelheart,Brandon Sanderson,en,Excellent,4.16,76261,1243060.0,745836.0,Penguin,Young Adult
1995,Rainbow Fish and the big Blue Whale,"Marcus Pfister, J, Alison James",en,Excellent,4.15,95421,903.19,0.0,"Amazon Digital Services,  Inc,",Children’s
2009,The Happiness Project,Gretchen Rubin,en,Intermediate,3.57,94456,177210.0,106326.0,"Amazon Digital Services,  Inc,",Nonfiction
1962,The Man in the High Castle,"Philip K, Dick",en,Intermediate,3.66,84180,2280460.0,1368276.0,Hachette,Historical Fiction
1974,Helter Skelter: The True Story of The Manson Murders,"Vincent Bugliosi, Curt Gentry",en,Intermediate,4.0,92158,176.22,0.0,"Amazon Digital Services,  Inc,",Nonfiction
2012,Shadow of Night,Deborah Harkness,en,Excellent,4.04,97925,1242440.0,745464.0,"Amazon Digital Services,  Inc,",Historical Fiction
2014,Leaving Time,Jodi Picoult,en,Intermediate,3.94,76553,175230.0,105138.0,"Amazon Digital Services,  Inc,",Romance
2006,Moon Called,Patricia Briggs,en,Excellent,4.18,129150,350.24,0.0,"Amazon Digital Services,  Inc,",Fantasy
2006,Blue Bloods,Melissa de la Cruz,en,Intermediate,3.68,116687,702240.0,421344.0,"Amazon Digital Services,  Inc,",Young Adult
1994,The Alienist,Caleb Carr,en,Excellent,4.05,96981,1230240.0,738144.0,Harper,Thriller
2015,Between the World and Me,Ta-Nehisi Coates,en,Famous,4.4,74218,523.25,0.0,"Amazon Digital Services,  Inc,",Nonfiction
2009,The Big Short: Inside the Doomsday Machine,Michael   Lewis,en,Excellent,4.26,37090,1216260.0,729756.0,Simon and Schuster Digital Sales Inc,Nonfiction
1999,The Girl Who Loved Tom Gordon,Stephen King,en,Excellent,3.56,95768,1346760.0,808056.0,"Amazon Digital Services,  Inc,",Thriller
2011, A Monster Calls ,"Patrick Ness, Jim Kay, Siobhan Dowd",en,Excellent,4.36,104579,1842.45,1105.47,Random,Young Adult
2010,Towers of Midnight,"Robert Jordan, Brandon Sanderson",en,Excellent,4.42,91383,344270.0,206562.0,"Amazon Digital Services,  Inc,",Fantasy
1971,The Day of the Jackal,Frederick Forsyth,en,Excellent,4.25,85883,171.27,0.0,"Amazon Digital Services,  Inc,",Thriller
2010,Rework,"Jason Fried, David Heinemeier Hansson",en,Intermediate,3.93,88626,517270.0,310362.0,Simon and Schuster Digital Sales Inc,Nonfiction
2011,Attachments,Rainbow Rowell,en,Intermediate,3.95,105414,170280.0,102168.0,"Amazon Digital Services,  Inc,",Romance
